go version go1.27.1 freebsd/amd64
Done vet in 3981.43ms
Done test in 6002.00ms
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2192013	       546.6 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2197358	       560.6 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2181740	       550.5 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2190698	       548.3 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2186334	       548.9 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2191984	       549.8 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2175849	       550.0 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementOriginal-8         	 2184612	       549.3 ns/op	     456 B/op	      10 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2706384	       447.2 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2733993	       444.2 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2723862	       438.0 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2743250	       441.2 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2704587	       438.1 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2708392	       440.2 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2704960	       440.6 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementBytesBuffer-8      	 2748504	       442.0 ns/op	     336 B/op	       7 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3496670	       343.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3505398	       347.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3478614	       344.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatement/BigCo/before.StatementMyFmt-8            	 3483261	       343.6 ns/op	       0 B/op	       0 allocs/op
